industry,business_age_years,num_employees,business_type,gst_registered,region,annual_revenue_lakh,gross_margin_pct,operating_cash_flow_lakh,revenue_growth_yoy_pct,revenue_volatility_6m_pct,debt_to_equity_ratio,current_ratio,accounts_receivable_days,months_on_platform,total_invoices_lifetime,avg_invoice_value_lakh,invoice_frequency_monthly,pct_invoices_paid_on_time,avg_payment_delay_days,max_payment_delay_days,dispute_rate_pct,order_value_trend,has_existing_loans,num_active_loans,existing_loan_lakh,prev_bnpl_defaults,credit_bureau_score,months_oldest_credit,num_credit_enquiries_6m,relationship_tenure_months,num_unique_billers,repeat_order_rate_pct,platform_gmv_lakh,last_order_days_ago,support_tickets_open,sector_bnpl_penetration_pct,macro_gdp_growth_pct,default_probability,bnpl_approved,credit_limit_lakh,credit_source
IT Services,1,45,Partnership,0,Rural,240.55,22.12,48.83,41.16,12.38,0.652,1.397,59.5,53,71,2.652,15.92,35.4,25.9,34.2,1.59,stable,1,4,49.29,1,619,42,0,53,3,63.1,188.29,5,0,35,5.44,0.9422,0,0,none
Retail (B2B),2,3,Sole Prop,1,Metro,652.02,38.27,188.56,20.63,12.25,1.131,2.768,49.1,9,6,1.837,4.02,88.4,22.3,23.6,1.36,declining,0,0,0,1,696,52,1,9,5,80.9,11.02,25,0,28,5.87,0.6543,0,0,none
Logistics & Freight,1.5,1,Sole Prop,1,Tier-2,585.72,23.7,101.37,35.72,31.96,0.571,4.003,40.6,15,146,3.085,9.53,65.9,24.2,28.1,0.7,growing,0,0,0,0,739,25,1,15,3,70.5,450.41,2,1,15,4.65,0.342,1,43.19,platform
Manufacturing,0.6,24,LLP,0,Metro,81.04,45.4,28.95,-5,4.43,1.141,2.763,37.7,2,42,0.504,2.16,66.8,4.8,18.3,1.69,growing,1,3,7.75,1,596,83,1,2,4,94.7,21.17,3,0,22,6,0.858,0,0,none
Retail (B2B),12.5,8,Pvt Ltd,1,Tier-2,422.53,16.65,47.93,20.47,9.95,0.8,2.043,22.5,62,25,2.157,2.23,91.7,2.9,5.9,1.11,declining,1,4,8.9,0,736,35,0,62,4,91.7,53.92,29,0,28,4.64,0.0369,1,46.56,biller
Retail (B2B),0.5,9,Sole Prop,0,Tier-1,416.48,20.94,44.97,12.84,3.25,1.736,1.062,43.8,10,25,1.533,2.96,88.6,9.2,16.6,0.94,growing,0,0,0,0,680,57,2,10,3,82.1,38.32,23,0,28,5.93,0.4846,0,0,none
IT Services,7.2,8,Pvt Ltd,1,Rural,282.13,21.03,49.91,-7.71,25.11,1.202,3.905,66.7,9,7,3.102,5.53,83.9,1.9,15.4,1.86,growing,0,0,0,2,704,26,0,9,5,99.1,21.71,5,0,35,6.31,0.6332,0,0,none
Healthcare Supplies,1.3,15,Partnership,0,Tier-1,800.77,6.38,24.58,0.96,18.43,2.153,1.034,53.3,5,139,1.936,10.07,87.6,8.1,12.9,3.16,growing,0,0,0,0,641,6,2,5,3,62.1,269.1,6,0,20,6.26,0.5296,0,0,none
Manufacturing,12.7,5,Partnership,1,Tier-3,555.21,35.27,109.59,19.52,32.38,3.951,2.178,35.7,7,1,4.158,18.16,91.9,14.5,43.3,2.53,stable,1,4,4.23,0,651,4,0,7,4,94.1,4.16,40,0,22,6.71,0.2671,1,25.64,biller
IT Services,11.7,61,Pvt Ltd,1,Metro,501.86,18,16.8,-14.5,8.6,0.528,1.211,61.2,21,21,0.149,3.57,40,7.6,15.3,3.71,stable,1,4,5.48,0,709,40,0,21,2,87.6,3.13,16,0,35,6.66,0.24,1,23.8,biller
Logistics & Freight,5.8,2,Partnership,1,Tier-3,1225.85,25.1,147.86,-16.03,7.05,1.515,0.987,53.3,2,21,0.88,4.61,75,1.9,3.8,3.18,stable,1,4,128.96,0,446,0,3,2,7,89.2,18.48,15,0,15,8.13,0.559,0,0,none
Wholesale Trade,6.1,19,LLP,1,Tier-2,188.69,14.82,17.33,-17.54,3.35,0.38,3.215,34.5,5,35,4.636,3.63,87.5,21.8,52.2,0.7,stable,1,4,21.55,0,683,48,0,5,4,89.3,162.26,18,0,18,5.36,0.1561,1,19.32,biller
Logistics & Freight,0.5,24,Pvt Ltd,0,Metro,196.54,42.7,50.91,-7.51,19.56,1.409,3.318,71.9,6,35,1.5,4.34,94.8,2.5,16.2,1.85,stable,0,0,0,0,846,3,1,6,3,93.5,52.5,26,0,15,5.92,0.1744,1,17.79,biller
Manufacturing,21.5,5,Partnership,1,Tier-3,570.71,36.79,174.47,13.73,11.5,2.097,0.96,19.5,5,3,16.299,2.89,64.4,37.8,47.6,0.26,declining,1,3,19.56,0,636,0,1,5,3,87.5,48.9,1,0,22,5.62,0.5296,0,0,none
Wholesale Trade,11,3,LLP,1,Tier-3,141.2,22.7,15.72,-2.13,18,1.038,2.105,44.6,4,16,6.102,1.61,84.5,13.2,17.6,0.13,stable,1,4,6.06,0,692,44,3,4,3,69,97.63,1,0,18,6.4,0.1894,1,14.64,platform
Professional Services,11.8,37,Partnership,1,Tier-3,355.76,7.31,13.02,33.55,10.76,1.848,1.535,28.4,72,12,3.542,4.59,73.9,15.8,22.2,1.08,growing,1,4,8.86,0,636,49,0,72,5,90.4,42.5,18,0,30,6.42,0.1158,1,44.81,biller
Professional Services,5.9,4,Sole Prop,1,Metro,82.75,30.93,11.89,-20.88,29.39,1.741,0.917,65.9,24,88,0.314,3.2,78.3,1.4,1.4,1.95,growing,1,3,24.6,2,640,38,3,24,2,69.2,27.63,2,0,30,5.46,0.7996,0,0,none
Healthcare Supplies,2.6,6,LLP,1,Tier-1,7.45,35,1.72,18.26,27.65,2.151,1.06,21.4,4,18,17.484,8.34,95.5,28.3,29.5,1.49,stable,1,4,3.5,0,708,98,1,4,3,97.8,314.71,41,0,20,5.79,0.317,1,17.44,biller
Retail (B2B),11.7,32,Pvt Ltd,1,Tier-2,418.65,10.87,44.9,0.66,15.86,0.516,1.359,26.6,32,28,1.219,2.75,62,6.3,10.9,0.19,growing,1,1,25.84,0,812,0,2,32,5,85.4,34.13,11,1,28,6.36,0.154,1,31.2,biller
Wholesale Trade,2.2,12,Pvt Ltd,1,Tier-3,20.74,20.28,0.21,5.9,25.53,3.219,1.872,89,8,54,4.257,2.64,96,1.8,7.2,1.01,growing,0,0,0,3,708,6,3,8,6,82,229.88,16,0,18,7.56,0.8157,0,0,none
Construction,4.6,1,Sole Prop,1,Tier-2,68.12,22.92,7.46,21.69,13.68,1.045,4.525,46.6,2,3,0.579,5.33,67.6,4.5,14.9,2.41,stable,1,3,4.01,0,734,77,0,2,6,98.4,1.74,12,1,10,6.36,0.2751,1,5.97,biller
IT Services,1,83,Sole Prop,0,Tier-2,571.36,35.04,102.56,-44.69,14.54,0.36,2.757,59.8,13,2,7.875,2.19,59.8,3.7,11.9,4.43,stable,1,4,4.4,2,628,0,1,13,5,78.8,15.75,12,0,35,3.92,0.9012,0,0,none
Manufacturing,13.3,6,Pvt Ltd,1,Tier-1,580.84,20.18,7.86,-34.75,6.64,0.647,1.877,45.3,11,21,3.073,6.75,90.1,13.4,29.5,2.34,stable,1,2,74.01,0,684,15,0,11,3,84.2,64.53,6,0,22,7.18,0.0869,1,33.35,biller
IT Services,1.3,7,Pvt Ltd,0,Tier-3,939.53,33.54,179.3,6.75,20.07,0.493,1.56,38.4,9,40,5.887,9.49,70.4,5.4,7.4,1.27,growing,1,4,40,0,720,80,1,9,5,75.6,235.48,3,0,35,6.4,0.3491,1,44.12,platform
Wholesale Trade,1.8,16,Partnership,0,Metro,10.72,12.73,0.7,3.55,15.23,0.879,0.733,58.9,3,34,8.128,2.84,71.3,0.8,11.8,1.25,declining,1,2,14,0,759,15,0,3,3,47.5,276.35,41,0,18,7.27,0.4162,0,0,none
FMCG Distribution,4.6,24,LLP,1,Tier-1,274.35,9.33,12.55,-20.56,23.8,0.678,1.21,44.6,21,7,6.237,1.08,78.5,3.5,7.2,0.09,growing,0,0,0,0,900,13,1,21,2,77.8,43.66,21,2,25,6.81,0.1011,1,22.91,biller
Manufacturing,7.7,105,Partnership,1,Metro,126.37,43.98,18.02,48.1,22.14,0.397,2.917,32,11,35,1.543,7.66,59.5,3.1,8.3,2.21,stable,1,4,28.02,0,631,40,1,11,4,48.5,54,9,0,22,7.07,0.2403,1,12.36,platform
Construction,5.3,1,LLP,1,Tier-1,723.07,6.25,26.13,-15.17,7.51,0.354,2.653,62.1,25,12,1.826,3.61,85.2,1.4,19.9,2.51,growing,0,0,0,0,779,0,1,25,1,70.1,21.91,2,1,10,5.54,0.0974,1,41.25,platform
Retail (B2B),1.8,30,Public Ltd,1,Tier-2,1432.11,12.99,57.37,-2.65,13.08,1.325,0.873,67.2,3,15,1.546,1.69,92.1,4.7,9.4,0.66,stable,1,2,15.48,0,748,19,1,3,6,62.3,23.19,5,2,28,8.53,0.2564,1,50.44,platform
IT Services,0.5,27,Sole Prop,0,Tier-1,29.01,31.42,3.55,31,10.22,4.21,1.425,59.7,53,103,7.526,1.33,56.2,9.9,10.9,3.06,growing,1,4,12.22,0,625,49,1,53,5,75.6,775.18,7,0,35,5.77,0.662,0,0,none
Logistics & Freight,7.6,10,Sole Prop,0,Tier-2,185.35,15.63,15.94,-5.5,25.45,1.503,0.847,60.3,16,57,3.162,6.35,83.6,0.3,7.5,1.1,growing,0,0,0,0,734,74,1,16,2,79.6,180.23,5,0,15,4.88,0.2783,1,23.44,biller
Manufacturing,21.6,28,Partnership,1,Tier-3,581.54,15.31,76.16,-9.36,30.73,0.839,2.339,50.7,10,74,0.805,1.99,89.9,12.5,23.1,2.42,growing,0,0,0,0,639,22,1,10,6,80.4,59.57,14,0,22,6.4,0.1575,1,35.09,platform
Professional Services,8.8,34,Pvt Ltd,1,Metro,112.93,19.63,15.57,15.78,22.99,0.578,2.015,60.4,20,9,20.948,26.58,64.2,3,7.4,0.23,growing,1,4,1.75,0,795,60,2,20,3,85,188.53,2,0,30,5.7,0.0974,1,26.16,biller
Healthcare Supplies,3.6,2,Partnership,1,Tier-1,2088.02,2,31.47,-6.86,34.86,0.485,0.807,28.4,13,168,3.754,2.01,77.2,0.3,25.9,1.36,stable,1,2,3.16,0,787,17,4,13,3,72.8,630.67,22,0,20,6.58,0.1988,1,113.29,platform
Professional Services,12.2,83,Partnership,1,Tier-2,103.33,35.45,36.63,15.9,20.24,1.094,2.229,53.4,8,19,9.032,5.95,66.2,8.2,12.8,1.21,growing,1,4,1.61,0,696,83,0,8,7,79.9,171.61,29,0,30,6.39,0.1694,1,19.02,platform
FMCG Distribution,3.1,2,Partnership,0,Tier-1,119.07,24.11,20.39,18.26,5.25,1.152,2.558,46.9,22,51,0.875,5.13,78.2,1.7,3.9,0.52,growing,0,0,0,0,510,9,2,22,4,89.1,44.62,2,1,25,5.58,0.3849,1,13.27,biller
Logistics & Freight,4.2,3,Sole Prop,1,Tier-2,40.34,12.26,1.67,15.59,1.12,2.099,2.413,31.8,6,129,7.243,1.46,81.6,21.7,30.1,1.01,stable,0,0,0,0,669,15,1,6,9,91.3,934.35,4,0,15,6.38,0.2892,1,44.35,biller
Professional Services,3.7,9,Partnership,1,Tier-1,224.86,2,2.07,31.58,5.8,1.015,1.463,81.4,1,9,7.483,15.25,52.4,1.8,32.5,1.48,declining,0,0,0,0,789,34,3,1,2,67.3,67.35,3,0,30,6.05,0.3497,1,12.58,platform
Wholesale Trade,3.5,101,Sole Prop,0,Tier-2,5,5.62,0.11,0.28,10.46,4.1,2.221,51.1,22,9,14.03,2.07,40.9,0.4,3,3.68,stable,1,4,102.5,0,603,31,1,22,4,81.5,126.27,11,0,18,6.67,0.7601,0,0,none
Manufacturing,8,8,Partnership,1,Metro,128.14,2.87,2.08,-2.08,8.23,0.479,2.668,28,5,83,0.746,33.6,48.2,8.2,8.7,0.35,growing,0,0,0,0,735,17,2,5,3,62.7,61.92,33,0,22,8.02,0.2399,1,11.85,platform
Wholesale Trade,4.2,11,Pvt Ltd,1,Tier-1,1071.22,24.73,131.7,6.29,15.54,0.549,0.567,42.9,14,43,0.629,1.95,88.8,2.6,10.3,1.93,growing,0,0,0,0,707,23,2,14,8,80.3,27.05,5,0,18,5.24,0.1805,1,47.68,biller
Retail (B2B),2.4,58,Partnership,1,Metro,25.65,24.85,2.32,-48.6,13.19,1.874,2.269,50.8,32,41,5.644,16.77,76.4,8.2,10.7,4.38,stable,0,0,0,0,803,49,5,32,4,81,231.4,24,0,28,4.81,0.2069,1,28.18,biller
Retail (B2B),2,8,Public Ltd,1,Metro,18.81,29.35,4.59,12.27,15.75,0.913,0.647,67.9,5,23,1.325,2.65,94.2,5.6,14.3,1.99,growing,0,0,0,0,658,41,0,5,4,71.9,30.48,12,0,28,5.81,0.247,1,6.43,platform
Retail (B2B),0.7,3,LLP,0,Metro,864.99,30.79,226.08,1.41,39.42,0.863,1.286,57.6,32,12,10.24,11.43,95.1,0.5,1.7,1.89,growing,1,4,17.08,0,788,32,1,32,2,47.2,122.88,20,0,28,5.89,0.2511,1,58.39,platform
FMCG Distribution,4.9,7,Pvt Ltd,0,Metro,1045.64,29.54,199.18,15.65,23.76,0.722,1.466,51.7,3,6,33.77,6.4,89.1,4,4.6,0.91,stable,1,4,13.09,0,654,42,0,3,4,60.8,202.62,0,0,25,6.1,0.3131,1,50.93,platform
Retail (B2B),1.8,55,Partnership,1,Metro,27.17,40.45,3.84,-9.93,17.7,0.446,2.2,54.5,5,57,1.757,1.09,33,3.1,5.2,3.61,growing,0,0,0,3,450,36,1,5,6,76.2,100.15,24,0,28,5.03,0.965,0,0,none
Retail (B2B),1.3,13,LLP,1,Metro,2050.51,36.34,469.74,34.91,25.62,0.251,1.575,43.2,12,8,1.63,20.24,67.8,18.6,32.6,5.12,stable,1,4,17.98,0,642,41,2,12,2,74.5,13.04,10,0,28,7.49,0.4027,0,0,none
Logistics & Freight,5.8,101,Pvt Ltd,1,Tier-1,332.1,33.5,49.74,3.84,6.93,0.789,2.341,44.7,11,43,1.079,1.65,55.7,7.5,7.7,1.12,stable,1,2,65.88,0,703,0,1,11,7,80.4,46.4,6,0,15,6.73,0.2497,1,22.92,platform
Manufacturing,6.2,27,Pvt Ltd,1,Tier-1,787.01,24.84,180.14,24.71,6.5,0.544,1.285,70.5,30,25,2.335,4.49,87.6,5.1,10.8,1.64,declining,1,4,32.55,0,802,0,0,30,5,66.3,58.38,24,1,22,5.59,0.0796,1,54.94,platform
Healthcare Supplies,7.5,5,Pvt Ltd,1,Tier-3,59.82,30.65,5.52,-2.15,24.16,1.71,2.312,88.3,4,20,6.207,2.24,80.8,4.9,25.8,0.36,stable,1,3,84.1,2,606,42,0,4,5,69.4,124.14,3,0,20,6.3,0.7661,0,0,none
Wholesale Trade,4,12,Partnership,1,Tier-2,1457.8,17.07,190.22,17.33,15,1.291,2.108,82.6,45,22,2.024,4.79,93.8,17.2,18.4,3.65,stable,0,0,0,3,554,12,0,45,3,57,44.53,13,2,18,7.35,0.7243,0,0,none
Professional Services,11.7,4,Partnership,1,Tier-2,124.56,19.35,18.3,-23.1,16.23,0.804,1.853,23.3,13,10,24.76,8.17,68.2,13.3,21.5,1.22,growing,0,0,0,0,645,64,0,13,4,92.2,247.6,15,0,30,4.32,0.1716,1,26,biller
Healthcare Supplies,14.3,5,Pvt Ltd,1,Tier-3,117.11,42.66,41.17,-35.93,3.57,0.896,1.387,30.7,14,47,11.038,3.54,71.3,7.4,8.7,2.66,growing,1,1,16.54,0,571,106,1,14,4,73,518.79,6,0,20,6.75,0.2711,1,32.38,platform
Manufacturing,8.7,1680,Sole Prop,1,Metro,356.14,15.31,35.39,3.86,10.26,3.234,1.485,37.6,1,22,4.312,1.55,96,4.8,24.8,2.23,growing,0,0,0,0,634,41,3,1,3,74.8,94.86,16,1,22,7.64,0.2673,1,18.72,platform
Wholesale Trade,5.5,37,Pvt Ltd,1,Tier-3,104.71,14.43,7.82,7.6,10.9,0.701,1.608,53.2,72,24,2.535,2.74,85.4,5.1,12.9,3.44,growing,0,0,0,2,715,0,3,72,9,76.3,60.84,5,0,18,8.26,0.5238,0,0,none
Healthcare Supplies,2.3,31,Sole Prop,0,Tier-3,21.56,17.66,3.81,6.08,10.19,2.86,1.137,19.5,6,7,0.263,4.97,80.5,13.7,25.3,0.53,stable,1,3,5.65,0,747,13,2,6,3,64.4,1.84,26,0,20,5.62,0.5422,0,0,none
Construction,20.9,6,Partnership,1,Tier-1,218,15.41,12.79,2.22,36.45,3.985,1.595,34.1,10,18,15.895,2.07,81.5,26.5,33.4,1.86,stable,1,2,29.01,0,830,30,2,10,5,68.8,286.11,27,1,10,6.81,0.3209,1,22.98,platform
Construction,2.1,68,Partnership,1,Rural,116.1,16.43,14.87,-0.03,36.21,1.705,1.911,53.8,1,30,1.989,8.42,95.7,3.5,12.8,2.68,stable,1,3,19.08,0,581,30,3,1,3,75.6,59.67,12,0,10,7.22,0.4705,0,0,none
Healthcare Supplies,1.6,40,Pvt Ltd,1,Tier-2,61.86,24.91,9.32,21.51,26.38,0.995,1.686,27.6,9,37,8.865,1.92,93,2.8,49.2,2.56,growing,0,0,0,0,656,59,0,9,5,76.3,328,1,0,20,7.04,0.1645,1,24.98,platform
Wholesale Trade,3.4,96,Sole Prop,1,Rural,1029.41,25.3,178.59,43.68,15.97,1.152,0.978,54,2,27,2.14,7.12,68.9,13.1,23.5,2.82,growing,1,3,4.34,0,608,0,1,2,5,65.8,57.78,12,0,18,6.21,0.5797,0,0,none
Retail (B2B),0.8,91,Partnership,0,Metro,5162.92,32.93,1163.56,59.75,9.13,2.499,1.446,64.5,48,23,0.254,2.71,71.1,3.5,7.8,3.73,declining,1,3,18.12,0,622,36,0,48,8,97.1,5.84,40,1,28,4.69,0.4934,0,0,none
Wholesale Trade,19.7,2,Partnership,1,Tier-3,50.06,48.26,7.96,29.89,4.65,1.026,1.706,67.3,26,16,1.871,31.19,49.7,15.1,19.6,0.61,stable,1,2,23.71,2,300,0,3,26,1,72.4,29.94,18,0,18,6.23,0.9503,0,0,none
FMCG Distribution,4.9,3,Partnership,0,Tier-1,238.99,17.58,11.11,-37.75,18.42,8,1.329,53.1,18,17,6.099,7.09,83,6.2,24.7,0.79,stable,0,0,0,0,711,34,1,18,5,88.3,103.68,62,1,25,4.8,0.4565,0,0,none
Logistics & Freight,4.6,4,Sole Prop,0,Tier-2,103.77,21.21,6.18,29.02,27.74,0.718,1.827,62.4,11,35,0.476,9.58,74.5,4.1,14.4,3.86,declining,1,1,20.77,0,785,57,1,11,7,80.9,16.66,22,0,15,7.63,0.265,1,11,platform
Retail (B2B),5.8,4,Pvt Ltd,1,Tier-1,4463.82,2,43.61,28.76,22.78,2.361,1.279,22,22,86,5.316,3.21,79.9,12.7,19.9,0.85,stable,1,3,3.72,0,708,73,0,22,4,83.2,457.18,21,0,28,5.24,0.293,1,178.93,biller
Wholesale Trade,3.9,17,Pvt Ltd,1,Tier-2,360.84,6.49,15.5,5.98,16.02,2.867,1.798,57.2,3,222,3.582,9.06,77.2,14.3,19.2,1.21,stable,0,0,0,0,564,14,1,3,6,74.4,795.2,48,1,18,6.48,0.4864,0,0,none
Retail (B2B),0.7,6,Pvt Ltd,0,Tier-3,663.64,20.25,57.54,26.54,21.68,0.363,2.306,81.9,2,83,0.52,4.47,71.1,5.3,7.2,2.87,stable,1,1,115.16,2,626,42,1,2,1,96.4,43.16,6,0,28,7.72,0.9285,0,0,none
Retail (B2B),5.2,119,Sole Prop,1,Metro,948.2,27.56,62.95,15.2,14.81,1.595,1.384,14.4,1,67,1.575,3.91,70.1,0.3,13.6,2.23,declining,1,4,5.51,0,734,19,0,1,5,73.2,105.52,3,0,28,7.23,0.298,1,41.62,platform
Construction,6.8,99,Partnership,0,Metro,217.5,27.9,50.34,7.71,12.22,1.057,1.985,63.4,10,114,0.726,6.63,68.3,8.6,26.6,2.46,stable,1,4,10.51,0,540,40,1,10,3,83.9,82.76,8,0,10,7.23,0.5185,0,0,none
Logistics & Freight,3.2,12,Sole Prop,0,Tier-1,139.64,29.4,8.84,13.06,4.86,1.044,2.993,54.1,17,42,2.942,1.58,78.2,2.7,8.7,2.98,growing,1,3,60.69,1,496,44,0,17,4,69.5,123.56,4,0,15,6.87,0.8172,0,0,none
FMCG Distribution,7.6,104,Sole Prop,1,Metro,1520.06,37.09,405.9,-3.08,11.71,3.003,1.519,72.4,6,40,0.533,2.99,41.9,1.6,9.2,0.94,growing,1,1,3.8,0,546,5,4,6,3,90,21.32,8,2,25,2.95,0.571,0,0,none
IT Services,1.8,62,LLP,1,Rural,538.64,42.47,94.28,-28.8,18.04,1.134,2.267,22.7,1,17,22.241,2.58,80.2,1.6,10.4,3.24,growing,0,0,0,0,807,4,1,1,7,77.9,378.1,1,1,35,8.13,0.1829,1,49.17,platform
Wholesale Trade,1.8,7,Partnership,1,Tier-2,55.46,19.08,9.57,-29.55,10.83,4.263,1.245,27.3,1,21,2.35,22.08,89.9,5.6,12,0.86,growing,0,0,0,0,624,12,1,1,4,67.4,49.35,12,1,18,5.18,0.512,0,0,none
Construction,1.4,1,Pvt Ltd,1,Tier-1,65.77,12.37,3.81,26.34,3.57,0.493,1.869,73.4,3,30,3.019,14.03,83.7,0.4,9.4,1.59,declining,1,2,85.87,0,761,72,1,3,4,63.3,90.57,42,0,10,4.75,0.1835,1,11.27,platform
Healthcare Supplies,2.8,9,LLP,1,Rural,105.06,29.86,5.01,-12.52,16.15,0.53,1.392,9.8,9,18,7.349,2.55,90.6,23.5,25.4,0.77,growing,1,1,27.75,2,415,42,0,9,6,81.1,132.28,8,0,20,5.17,0.9196,0,0,none
Logistics & Freight,9.9,5,Pvt Ltd,1,Tier-2,918.65,33.21,180.03,-22.59,18.04,1.054,0.643,10.1,8,9,1.216,8.07,91.7,2.4,15.2,2.35,growing,0,0,0,0,630,58,0,8,3,37.8,10.94,27,0,15,3.77,0.1803,1,45.33,platform
